variant,Y_mAP50,Y_mAP,Y_P,Y_R,Y_F1,Y_PT_fps,Y_TRT_FP16_fps,Y_TRT_INT8_fps,U_mAP50,U_mAP,U_P,U_R,U_F1,U_PT_fps,U_TRT_FP16_fps,U_TRT_INT8_fps,params,GFLOPs
yolo3,0.7541,0.6471,0.9254,0.8482,0.8762,,,,0.7370,0.6278,0.9363,0.6139,0.7415,,,,103696319,283.00
yolo5n,0.8156,0.7066,0.9144,0.8929,0.9025,262.4,471.7,470.4,0.8265,0.7221,0.8209,0.7517,0.7848,,,,2509439,7.20
yolo5s,0.7885,0.6817,0.9282,0.8631,0.8935,221.9,417.6,410.1,0.8326,0.7109,0.8248,0.7661,0.7944,,,,9124127,24.10
yolo5m,0.7909,0.6847,0.9321,0.8750,0.9003,208.1,303.0,323.1,0.8247,0.6771,0.7700,0.7764,0.7732,,,,25068031,64.40
yolo5l,0.8090,0.6837,0.9285,0.8423,0.8768,155.8,253.9,287.4,0.7852,0.6556,0.7404,0.7504,0.7453,,,,53167199,135.30
yolo5x,0.7580,0.6472,0.8950,0.8363,0.8624,112.8,177.1,190.6,0.7190,0.5977,0.6178,0.7303,0.6694,,,,97204223,246.90
yolo6n,0.2525,0.1110,0.2894,0.3155,0.2330,260.1,445.7,470.7,,,,,,,,,,
yolo6s,0.3071,0.0961,0.4192,0.4524,0.3849,259.5,393.7,399.1,,,,,,,,,,
yolo6m,0.5515,0.3892,0.8910,0.6071,0.6834,180.4,277.1,305.8,,,,,,,,,,
yolo6l,0.5032,0.3726,0.7762,0.5774,0.6362,123.5,207.7,245.8,,,,,,,,,,
yolo6n6,0.0529,0.0117,0.0753,0.3452,0.1220,223.7,444.0,464.9,,,,,,,,,,
yolo6s6,0.0673,0.0168,0.3442,0.1905,0.1652,206.3,302.5,360.9,,,,,,,,,,
yolo6m6,0.5069,0.3584,0.6755,0.6012,0.6033,138.3,218.3,269.2,,,,,,,,,,
yolo6l6,,,,,,93.8,155.0,201.9,,,,,,,,,,
yolo6s_mbla,0.5793,0.4323,0.8539,0.6101,0.6838,183.2,351.2,361.4,,,,,,,,,,
yolo6m_mbla,0.5651,0.4309,0.7964,0.6161,0.6617,178.7,295.2,306.8,,,,,,,,,,
yolo6l_mbla,0.5290,0.3919,0.8713,0.5685,0.6689,154.2,259.3,300.6,,,,,,,,,,
yolo6x_mbla,0.5634,0.4484,0.7687,0.6667,0.6892,103.3,164.9,215.0,,,,,,,,,,
yolo7,0.5536,0.3281,0.6624,0.6042,0.5643,,,,,,,,,,,,,
yolo7-tiny,0.5027,0.3418,0.5947,0.7351,0.6247,214.4,369.4,398.4,,,,,,,,,,
yolo7x,0.5272,0.3567,0.6171,0.5387,0.5532,,,,,,,,,,,,,
yolo7-w6,0.4744,0.2974,0.6726,0.5982,0.5557,,,,,,,,,,,,,
yolo7-e6,,,,,,,,,,,,,,,,,,
yolo7-d6,,,,,,,,,,,,,,,,,,
yolo7-e6e,,,,,,,,,,,,,,,,,,
yolo8n,0.8238,0.7121,0.9393,0.8958,0.9159,484.5,1079.1,870.1,0.8487,0.7350,0.8112,0.8045,0.8079,425.6,688.6,678.4,3011823,8.20
yolo8s,0.8240,0.7139,0.9483,0.8720,0.9069,389.1,950.4,847.6,0.8830,0.7452,0.8292,0.8565,0.8426,369.6,653.2,653.0,11137535,28.70
yolo8m,0.7903,0.6778,0.9074,0.8542,0.8787,248.3,690.0,635.4,0.8068,0.6821,0.7615,0.7643,0.7629,248.9,537.2,536.0,25859215,79.10
yolo8l,0.7634,0.6595,0.9567,0.8095,0.8578,139.9,232.4,271.4,0.7542,0.6589,0.7267,0.7370,0.7318,,,,43633695,165.40
yolo8x,0.7404,0.6430,0.9274,0.8274,0.8540,142.9,429.5,443.8,0.7691,0.6630,0.7639,0.7508,0.7573,147.6,375.6,406.5,68157423,258.10
yolo9t,0.7977,0.6737,0.9284,0.8661,0.8954,158.7,375.5,356.1,0.8041,0.7079,0.7843,0.7939,0.7891,,,,2006383,7.90
yolo9s,0.7668,0.6722,0.9409,0.8958,0.9156,147.3,303.3,312.7,0.8573,0.7566,0.9087,0.7496,0.8215,,,,7289343,27.40
yolo9m,0.8070,0.6943,0.9538,0.8631,0.9033,142.3,260.0,287.3,0.7761,0.6655,0.7566,0.7383,0.7474,,,,20161935,77.60
yolo9c,0.8007,0.6763,0.9368,0.8810,0.9064,133.4,259.3,250.7,0.7816,0.6572,0.7526,0.7578,0.7552,,,,25533087,103.70
yolo9e,0.7653,0.6456,0.9011,0.8601,0.8768,,,,0.7276,0.6300,0.9327,0.6390,0.7584,,,,58148767,192.70
yolo10n,0.8744,0.7533,0.9326,0.9077,0.9189,544.9,1008.2,740.8,0.7401,0.6537,0.6294,0.7251,0.6739,341.8,746.1,701.0,2708990,8.40
yolo10s,0.8404,0.7267,0.9360,0.8839,0.9084,227.3,388.1,394.7,0.8038,0.7103,0.8242,0.7166,0.7666,,,,8070222,24.80
yolo10m,0.8002,0.6839,0.9388,0.8482,0.8871,170.0,291.0,289.3,0.7922,0.6977,0.7558,0.7512,0.7535,,,,16489918,64.00
yolo10b,0.7600,0.6542,0.8934,0.8810,0.8849,155.8,290.1,291.6,0.7923,0.6707,0.8783,0.7199,0.7912,,,,20458734,98.70
yolo10l,0.7310,0.6417,0.9062,0.8065,0.8501,140.3,270.2,269.2,0.7330,0.6387,0.9042,0.6587,0.7622,,,,25773038,127.20
yolo10x,0.7913,0.6793,0.9160,0.8661,0.8869,181.3,403.3,358.0,0.7837,0.6807,0.7772,0.6819,0.7264,78.2,127.5,329.8,31664510,171.00
yolo11n,0.8128,0.6996,0.9445,0.8423,0.8896,500.3,972.1,830.3,0.8321,0.7182,0.8160,0.8099,0.8129,365.3,650.9,635.3,2590815,6.40
yolo11s,0.8024,0.6944,0.9361,0.8720,0.9014,397.2,876.3,771.4,0.8300,0.7039,0.8571,0.7794,0.8165,358.3,620.3,589.7,9429727,21.60
yolo11m,0.7643,0.6627,0.9428,0.8244,0.8652,260.6,639.2,611.6,0.7952,0.6768,0.8094,0.7383,0.7722,253.8,495.7,496.7,20056863,68.20
yolo11l,0.7475,0.6431,0.9272,0.8006,0.8397,154.9,235.4,247.1,0.7958,0.6640,0.7503,0.7825,0.7660,,,,25314335,87.30
yolo11x,0.6967,0.5892,0.8996,0.7738,0.8122,138.4,418.2,397.2,0.7382,0.6181,0.9010,0.6189,0.7338,69.3,97.0,82.9,56879551,195.50
yolo12n,0.7990,0.6902,0.9214,0.8750,0.8971,337.7,670.8,652.5,0.8003,0.6919,0.8113,0.7415,0.7749,277.7,501.4,515.8,2569023,6.50
yolo12s,0.8072,0.6908,0.9154,0.8690,0.8913,190.0,310.4,326.1,0.7751,0.6591,0.8284,0.7006,0.7592,,,,9255071,21.50
yolo12m,0.7641,0.6358,0.9500,0.7887,0.8432,183.6,249.7,269.1,0.7478,0.6220,0.7112,0.7120,0.7116,,,,20141343,67.80
yolo12l,0.7089,0.6189,0.9646,0.7649,0.8346,122.9,181.6,197.1,0.7524,0.6434,0.9386,0.6414,0.7621,,,,26392959,89.40
yolo12x,0.6923,0.5898,0.9186,0.7649,0.8157,105.7,259.9,285.7,0.6743,0.5447,0.9175,0.5485,0.6866,121.5,218.7,243.8,59124159,199.80
yolo13n,0.8401,0.7506,0.9540,0.8929,0.9215,317.9,619.7,559.3,0.8844,0.7796,0.8526,0.8452,0.8489,195.2,,,2481991,6.40
yolo13s,0.7977,0.7049,0.9137,0.8750,0.8922,169.6,297.1,288.8,0.7999,0.7190,0.8461,0.7237,0.7801,203.4,,,9031879,20.80
yolo13l,0.7650,0.6598,0.8876,0.8839,0.8838,115.1,180.1,176.9,0.7877,0.6864,0.7284,0.8034,0.7640,129.8,,,27574471,88.40
yolo13x,0.7618,0.6676,0.9022,0.8601,0.8784,95.7,223.0,239.1,,,,,,105.0,,,63977543,199.20
yolo26n,0.8578,0.7288,0.9099,0.9048,0.9043,418.0,911.5,736.6,0.8119,0.7164,0.7783,0.7910,0.7846,339.0,702.7,661.5,2505750,5.80
yolo26s,0.9109,0.7415,0.9666,0.8810,0.9211,183.8,373.4,375.5,0.8787,0.7443,0.8766,0.8539,0.8651,,,,9951734,22.50
yolo26m,0.9043,0.7583,0.9313,0.9077,0.9182,174.4,299.9,304.1,0.8642,0.7449,0.8033,0.8375,0.8201,,,,21780598,74.80
yolo26l,0.8821,0.7444,0.9232,0.9226,0.9223,137.7,262.6,238.2,0.8959,0.7653,0.8679,0.9030,0.8851,,,,26184054,93.20
yolo26x,0.8699,0.7196,0.9082,0.9137,0.9077,128.7,413.6,403.0,0.8751,0.7490,0.7752,0.9115,0.8378,151.0,380.6,378.5,58820118,208.60
