variant,1ep_Y_mAP50,1ep_U_mAP50,1ep_d_mAP50,1ep_Y_mAP,1ep_U_mAP,1ep_d_mAP,1ep_Y_P,1ep_U_P,1ep_d_P,1ep_Y_R,1ep_U_R,1ep_d_R,1ep_Y_F1,1ep_U_F1,1ep_d_F1,5ep_Y_mAP50,5ep_U_mAP50,5ep_d_mAP50,5ep_Y_mAP,5ep_U_mAP,5ep_d_mAP,5ep_Y_P,5ep_U_P,5ep_d_P,5ep_Y_R,5ep_U_R,5ep_d_R,5ep_Y_F1,5ep_U_F1,5ep_d_F1,Y_PT_fps,U_PT_fps,d_PT_fps,Y_FP16_fps,U_FP16_fps,d_FP16_fps,Y_INT8_fps,U_INT8_fps,d_INT8_fps,params_M,GFLOPs,Y_train_CPU_pct,U_train_CPU_pct,Y_train_RSS_GB,U_train_RSS_GB,Y_train_VRAM_MB,U_train_VRAM_MB,batch_train
yolo6l_mbla,0.1329,0.0019,+0.1310,0.0676,0.0005,+0.0671,0.7640,,,0.1101,,,0.1140,,,0.5290,0.0772,+0.4518,0.3919,0.0307,+0.3612,0.8713,,,0.5685,,,0.6689,,,154.2,,,259.3,,,300.6,,,,,,,,,,,16
yolo6x_mbla,0.0794,0.0017,+0.0777,0.0269,0.0004,+0.0265,0.1003,,,0.2232,,,0.1138,,,0.5634,0.1321,+0.4312,0.4484,0.0658,+0.3826,0.7687,,,0.6667,,,0.6892,,,103.3,,,164.9,,,215.0,,,,,,,,,,,16
yolo7,0.2148,,,0.0868,,,0.4056,,,0.3512,,,0.2598,,,0.5536,,,0.3281,,,0.6624,,,0.6042,,,0.5643,,,209.2,,,726.5,,,673.9,,,37.22,105.20,,,,,,,16
yolo7-tiny,0.2454,,,0.1176,,,0.3576,,,0.4583,,,0.3609,,,0.5027,,,0.3418,,,0.5947,,,0.7351,,,0.6247,,,461.0,,,1259.2,,,1083.6,,,6.03,13.20,,,,,,,16
yolo7x,0.1766,,,0.0663,,,0.3183,,,0.3810,,,0.2726,,,0.5272,,,0.3567,,,0.6171,,,0.5387,,,0.5532,,,148.5,,,515.2,,,443.0,,,70.84,189.00,,,,,,,16
yolo7-w6,,,,,,,,,,,,,,,,0.4744,,,0.2974,,,0.6726,,,0.5982,,,0.5557,,,194.9,,,662.4,,,684.0,,,,,,,,,,,16
yolo7-e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.3,,,500.0,,,492.9,,,,,,,,,,,16
yolo7-d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6,,,424.3,,,446.5,,,,,,,,,,,16
yolo7-e6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,,,344.4,,,345.3,,,,,,,,,,,16
yolo8n,0.7135,0.6397,+0.0737,0.5772,0.5037,+0.0735,0.9037,0.6472,+0.2565,0.7560,0.4887,+0.2672,0.8033,0.5569,+0.2464,0.8238,0.8487,-0.0249,0.7121,0.7350,-0.0230,0.9393,0.8112,+0.1281,0.8958,0.8045,+0.0913,0.9159,0.8079,+0.1080,484.5,418.2,+66.3,1079.1,619.7,+459.4,870.1,645.3,+224.8,3.01,8.20,471,280,8.1,8.3,5194,5049,16
yolo8s,0.7542,0.7220,+0.0322,0.5876,0.5600,+0.0276,0.8652,0.9066,-0.0414,0.8006,0.5657,+0.2349,0.8186,0.6967,+0.1220,0.8240,0.8830,-0.0590,0.7139,0.7452,-0.0313,0.9483,0.8292,+0.1191,0.8720,0.8565,+0.0155,0.9069,0.8426,+0.0642,389.1,282.5,+106.6,950.4,516.8,+433.6,847.6,630.6,+217.0,11.14,28.70,412,254,8.1,8.4,8175,7481,16
yolo8m,0.6008,0.5217,+0.0791,0.4590,0.3972,+0.0618,0.6936,0.7831,-0.0895,0.6220,0.4809,+0.1412,0.5495,0.5958,-0.0463,0.7903,0.8068,-0.0165,0.6778,0.6821,-0.0043,0.9074,0.7615,+0.1459,0.8542,0.7643,+0.0899,0.8787,0.7629,+0.1159,248.3,218.9,+29.4,690.0,507.4,+182.6,635.4,509.8,+125.6,25.86,79.10,323,200,8.1,8.6,9244,15688,16
yolo8l,0.4445,0.0024,+0.4421,0.3202,0.0013,+0.3189,0.6838,0.0032,+0.6805,0.5446,0.3752,+0.1695,0.5274,0.0064,+0.5209,0.7634,0.7542,+0.0092,0.6595,0.6589,+0.0006,0.9567,0.7267,+0.2299,0.8095,0.7370,+0.0725,0.8578,0.7318,+0.1260,139.9,187.2,-47.3,232.4,371.6,-139.2,271.4,441.3,-169.9,43.63,165.40,259,173,8.0,8.9,26933,29390,16
