variant,new_mAP50,base_mAP50,d_mAP50,new_mAP,base_mAP,d_mAP,new_P,base_P,d_P,new_R,base_R,d_R,new_F1,base_F1,d_F1,new_CPU_pct,base_CPU_pct,d_CPU,new_RSS_GB,base_RSS_GB,d_RSS,new_VRAM_MB,base_VRAM_MB,d_VRAM,batch,train_sec,status
yolo8l,0.416801,0.4445,-0.0277,0.28409,0.3202,-0.0361,0.647756,0.6838,-0.0360,0.574405,0.5446,+0.0298,0.570248,0.5274,+0.0428,212,259,-47,6.6,8.0,-1.4,6532,26933,-20401,8,24,ok
yolo8x,0.28915,0.4312,-0.1421,0.205017,0.3228,-0.1178,0.638759,0.4894,+0.1494,0.377976,0.4821,-0.1041,0.441158,0.4179,+0.0233,183,210,-27,6.2,8.2,-2.0,5824,20330,-14506,4,36,ok
yolo9t,0.67762,0.5093,+0.1683,0.571248,0.3700,+0.2012,0.75053,0.7708,-0.0203,0.705357,0.5893,+0.1161,0.711729,0.6056,+0.1061,286,,,6.6,,,2354,,,8,15,ok
yolo9s,0.712779,0.6015,+0.1113,0.56494,0.4645,+0.1004,0.881955,0.8080,+0.0740,0.729167,0.5863,+0.1429,0.765415,0.6582,+0.1072,264,,,6.6,,,3446,,,8,17,ok
yolo9m,0.474279,0.4626,+0.0117,0.363753,0.3039,+0.0599,0.592381,0.7589,-0.1665,0.592262,0.5268,+0.0655,0.501668,0.5728,-0.0711,213,,,6.7,,,5314,,,8,23,ok
yolo9c,0.531878,0.6184,-0.0865,0.403617,0.4609,-0.0573,0.677078,0.8659,-0.1888,0.66369,0.6935,-0.0298,0.584632,0.7322,-0.1476,217,,,6.7,,,6696,,,8,23,ok
yolo9e,0.161318,0.3574,-0.1961,0.0780861,0.2327,-0.1546,0.24479,0.7047,-0.4599,0.303571,0.4821,-0.1785,0.158703,0.4741,-0.3154,147,,,6.3,,,8728,,,4,53,ok
yolo10n,0.684665,0.6560,+0.0287,0.546335,0.4912,+0.0551,0.900102,0.7786,+0.1215,0.732143,0.7560,-0.0239,0.789143,0.7342,+0.0549,249,,,6.9,,,2352,,,8,18,ok
yolo10s,0.62557,0.4379,+0.1877,0.500685,0.3449,+0.1558,0.752534,0.7136,+0.0389,0.690476,0.5595,+0.1310,0.698828,0.5666,+0.1322,234,,,6.9,,,3454,,,8,20,ok
yolo10m,0.442169,0.4866,-0.0444,0.298726,0.3705,-0.0718,0.52973,0.6203,-0.0906,0.535714,0.5595,-0.0238,0.478228,0.5005,-0.0223,201,,,6.9,,,14288,,,8,25,ok
yolo10b,0.427675,0.4153,+0.0124,0.322368,0.3118,+0.0106,0.561921,0.5944,-0.0325,0.547619,0.4821,+0.0655,0.461469,0.4318,+0.0297,203,,,6.9,,,20694,,,8,25,ok
yolo10l,0.377108,0.4538,-0.0767,0.295609,0.3474,-0.0518,0.717648,0.5115,+0.2061,0.520833,0.5417,-0.0209,0.574414,0.4057,+0.1687,189,,,7.0,,,7460,,,8,29,ok
yolo10x,0.41069,0.4968,-0.0861,0.317411,0.3181,-0.0007,0.794071,0.6645,+0.1296,0.464286,0.5893,-0.1250,0.493901,0.5624,-0.0685,174,,,6.5,,,5854,,,4,40,ok
yolo11n,0.694623,0.6977,-0.0031,0.566779,0.5743,-0.0075,0.891035,0.8522,+0.0388,0.738095,0.7500,-0.0119,0.783717,0.7917,-0.0080,288,414,-126,6.8,8.3,-1.5,3650,4880,-1230,8,15,ok
yolo11s,0.655433,0.7542,-0.0988,0.509306,0.5822,-0.0729,0.799616,0.8377,-0.0381,0.744048,0.7560,-0.0120,0.742221,0.7914,-0.0492,262,371,-109,6.8,8.4,-1.6,3402,7286,-3884,8,17,ok
yolo11m,0.44893,0.4647,-0.0158,0.314269,0.3257,-0.0114,0.631747,0.5123,+0.1194,0.53869,0.5863,-0.0476,0.483968,0.3839,+0.1001,224,287,-63,6.9,8.4,-1.5,5736,30801,-25065,8,22,ok
yolo11l,0.430383,0.5883,-0.1579,0.292248,0.4003,-0.1081,0.58254,0.5586,+0.0239,0.544643,0.5982,-0.0536,0.45461,0.5119,-0.0573,203,258,-55,6.9,8.4,-1.5,6856,15298,-8442,8,27,ok
yolo11x,0.305751,0.3159,-0.0101,0.19948,0.1903,+0.0092,0.471807,0.5809,-0.1091,0.422619,0.4435,-0.0209,0.342858,0.4425,-0.0996,178,200,-22,6.5,8.5,-2.0,8316,26414,-18098,4,40,ok
yolo12n,0.707676,0.7463,-0.0386,0.555082,0.6069,-0.0518,0.931959,0.8151,+0.1169,0.747024,0.8423,-0.0953,0.811757,0.8257,-0.0139,261,365,-104,6.8,8.4,-1.6,2864,5648,-2784,8,18,ok
yolo12s,0.564567,0.6148,-0.0502,0.4141,0.4309,-0.0168,0.607174,0.7724,-0.1652,0.645833,0.6756,-0.0298,0.535361,0.7089,-0.1735,223,303,-80,6.9,8.4,-1.5,4380,8741,-4361,8,21,ok
