variant,new_mAP50,base_mAP50,d_mAP50,new_mAP,base_mAP,d_mAP,new_P,base_P,d_P,new_R,base_R,d_R,new_F1,base_F1,d_F1,new_CPU_pct,base_CPU_pct,d_CPU,new_RSS_GB,base_RSS_GB,d_RSS,new_VRAM_MB,base_VRAM_MB,d_VRAM,batch,train_sec,status
yolo8l,0.474314,0.4445,+0.0298,0.34408,0.3202,+0.0239,0.730704,0.6838,+0.0469,0.592262,0.5446,+0.0477,0.627124,0.5274,+0.0997,244,259,-15,7.7,8.0,-0.3,11231,26933,-15702,16,20,ok
yolo8x,0.391807,0.4312,-0.0394,0.283572,0.3228,-0.0392,0.763564,0.4894,+0.2742,0.520833,0.4821,+0.0387,0.510011,0.4179,+0.0921,209,210,-1,7.9,8.2,-0.3,13860,20330,-6470,16,26,ok
yolo9t,0.681245,0.5093,+0.1719,0.568942,0.3700,+0.1989,0.866222,0.7708,+0.0954,0.741071,0.5893,+0.1518,0.771277,0.6056,+0.1657,316,,,7.8,,,3912,,,16,12,ok
yolo9s,0.655969,0.6015,+0.0545,0.542942,0.4645,+0.0784,0.840314,0.8080,+0.0323,0.705357,0.5863,+0.1191,0.752747,0.6582,+0.0945,301,,,7.8,,,6066,,,16,13,ok
yolo9m,0.557805,0.4626,+0.0952,0.386147,0.3039,+0.0822,0.822423,0.7589,+0.0635,0.654762,0.5268,+0.1280,0.67082,0.5728,+0.0980,250,,,7.8,,,9976,,,16,18,ok
yolo9c,0.6128,0.6184,-0.0056,0.489834,0.4609,+0.0289,0.846643,0.8659,-0.0193,0.642857,0.6935,-0.0506,0.678757,0.7322,-0.0534,237,,,7.8,,,11938,,,16,19,ok
yolo9e,0.367628,0.3574,+0.0102,0.254564,0.2327,+0.0219,0.644542,0.7047,-0.0602,0.488095,0.4821,+0.0060,0.476266,0.4741,+0.0022,180,,,7.9,,,21692,,,16,34,ok
yolo10n,0.621262,0.6560,-0.0347,0.496728,0.4912,+0.0055,0.806234,0.7786,+0.0276,0.684524,0.7560,-0.0715,0.723796,0.7342,-0.0104,273,,,8.1,,,3862,,,16,16,ok
yolo10s,0.629266,0.4379,+0.1914,0.478417,0.3449,+0.1335,0.682931,0.7136,-0.0307,0.66369,0.5595,+0.1042,0.619712,0.5666,+0.0531,252,,,8.2,,,5918,,,16,18,ok
yolo10m,0.471565,0.4866,-0.0150,0.352749,0.3705,-0.0178,0.625438,0.6203,+0.0051,0.574405,0.5595,+0.0149,0.523592,0.5005,+0.0231,228,,,8.2,,,9184,,,16,20,ok
yolo10b,0.467503,0.4153,+0.0522,0.351173,0.3118,+0.0394,0.523824,0.5944,-0.0706,0.553571,0.4821,+0.0715,0.465679,0.4318,+0.0339,222,,,8.1,,,11448,,,16,22,ok
yolo10l,0.303489,0.4538,-0.1503,0.226832,0.3474,-0.1206,0.479434,0.5115,-0.0321,0.449405,0.5417,-0.0923,0.286015,0.4057,-0.1197,211,,,8.1,,,27231,,,16,24,ok
yolo10x,0.483774,0.4968,-0.0130,0.355483,0.3181,+0.0374,0.699729,0.6645,+0.0352,0.598214,0.5893,+0.0089,0.600772,0.5624,+0.0384,187,,,8.2,,,18181,,,16,30,ok
yolo11n,0.706443,0.6977,+0.0087,0.572214,0.5743,-0.0021,0.794051,0.8522,-0.0581,0.782738,0.7500,+0.0327,0.782603,0.7917,-0.0091,301,414,-113,8.0,8.3,-0.3,3807,4880,-1073,16,14,ok
yolo11s,0.596725,0.7542,-0.1575,0.463899,0.5822,-0.1183,0.794502,0.8377,-0.0432,0.642857,0.7560,-0.1131,0.694159,0.7914,-0.0972,282,371,-89,8.1,8.4,-0.3,5787,7286,-1499,16,15,ok
yolo11m,0.593493,0.4647,+0.1288,0.447028,0.3257,+0.1213,0.793785,0.5123,+0.2815,0.642857,0.5863,+0.0566,0.684844,0.3839,+0.3009,236,287,-51,8.1,8.4,-0.3,9937,30801,-20864,16,20,ok
yolo11l,0.491904,0.5883,-0.0964,0.365415,0.4003,-0.0349,0.750012,0.5586,+0.1914,0.568452,0.5982,-0.0297,0.619386,0.5119,+0.1075,221,258,-37,8.1,8.4,-0.3,12204,15298,-3094,16,23,ok
yolo11x,0.318454,0.3159,+0.0026,0.21123,0.1903,+0.0209,0.497448,0.5809,-0.0835,0.494048,0.4435,+0.0505,0.437202,0.4425,-0.0053,188,200,-12,8.1,8.5,-0.4,17670,26414,-8744,16,32,ok
yolo12n,0.617263,0.7463,-0.1290,0.474033,0.6069,-0.1329,0.779724,0.8151,-0.0354,0.723214,0.8423,-0.1191,0.736854,0.8257,-0.0888,273,365,-92,8.0,8.4,-0.4,4858,5648,-790,16,16,ok
yolo12s,0.603616,0.6148,-0.0112,0.429166,0.4309,-0.0017,0.753385,0.7724,-0.0190,0.71131,0.6756,+0.0357,0.719013,0.7089,+0.0101,242,303,-61,8.1,8.4,-0.3,8023,8741,-718,16,18,ok
yolo12m,0.414099,0.3660,+0.0481,0.28084,0.2356,+0.0452,0.715875,0.7053,+0.0106,0.419643,0.4345,-0.0149,0.437094,0.4970,-0.0599,204,232,-28,8.1,8.4,-0.3,13113,30562,-17449,16,26,ok
yolo12l,0.413583,0.3863,+0.0273,0.259997,0.2858,-0.0258,0.67051,0.6312,+0.0393,0.446429,0.5327,-0.0863,0.487591,0.4542,+0.0334,179,190,-11,8.1,8.4,-0.3,19011,27265,-8254,16,35,ok
yolo12x,0.175843,0.2657,-0.0899,0.100863,0.1457,-0.0448,0.426919,0.5162,-0.0893,0.3125,0.4464,-0.1339,0.294218,0.3910,-0.0968,158,160,-2,8.2,8.5,-0.3,27363,32058,-4695,16,49,ok
yolo13n,0.741368,0.7237,+0.0177,0.613723,0.6086,+0.0051,0.888707,0.8602,+0.0285,0.821429,0.7619,+0.0595,0.837242,0.7827,+0.0545,213,306,-93,8.3,8.7,-0.4,5567,6371,-804,16,24,ok
yolo13s,0.705264,0.6138,+0.0915,0.56208,0.4878,+0.0743,0.815488,0.8269,-0.0114,0.723214,0.6935,+0.0297,0.748568,0.7192,+0.0294,194,256,-62,8.4,8.8,-0.4,9283,10907,-1624,16,28,ok
yolo13l,0.541953,0.6365,-0.0945,0.410101,0.5086,-0.0985,0.624666,0.7117,-0.0870,0.702381,0.7619,-0.0595,0.608329,0.6883,-0.0800,153,172,-19,8.4,8.8,-0.4,24907,26533,-1626,16,50,ok
yolo13x,0.6161,0.5948,+0.0213,0.499638,0.4419,+0.0577,0.867018,0.6488,+0.2182,0.633929,0.6458,-0.0119,0.694403,0.5614,+0.1330,140,250,-110,7.4,6.6,+0.8,19913,32046,-12133,8,69,ok
yolo26n,0.67835,0.6085,+0.0698,0.556223,0.4664,+0.0898,0.889806,0.8320,+0.0578,0.738095,0.6875,+0.0506,0.786326,0.6926,+0.0937,274,,,8.1,,,4205,,,16,16,ok
yolo26s,0.661833,0.6846,-0.0228,0.495035,0.5005,-0.0055,0.864787,0.7759,+0.0889,0.717262,0.7292,-0.0119,0.763645,0.7257,+0.0379,263,,,8.1,,,8539,,,16,16,ok
yolo26m,0.722509,0.5992,+0.1233,0.528586,0.4257,+0.1029,0.836502,0.7903,+0.0462,0.75,0.7560,-0.0060,0.778473,0.7421,+0.0364,224,,,8.1,,,11331,,,16,22,ok
yolo26l,0.585073,0.5102,+0.0749,0.42182,0.3576,+0.0642,0.645347,0.5780,+0.0673,0.613095,0.6190,-0.0059,0.600996,0.5800,+0.0210,212,,,8.2,,,13288,,,16,25,ok
yolo26x,0.648618,0.5645,+0.0841,0.469516,0.4058,+0.0637,0.754442,0.6557,+0.0987,0.693452,0.6399,+0.0536,0.711337,0.6013,+0.1100,183,,,8.2,,,19286,,,16,34,ok
