variant,Y_mAP50,Y_mAP,Y_P,Y_R,Y_F1,Y_PT_fps,Y_TRT_FP16_fps,Y_TRT_INT8_fps,U_mAP50,U_mAP,U_P,U_R,U_F1,U_PT_fps,U_TRT_FP16_fps,U_TRT_INT8_fps,params,GFLOPs
yolo11x,0.3159,0.1903,0.5809,0.4435,0.4425,138.4,418.2,397.2,0.0026,0.0007,0.2304,0.0473,0.0785,69.3,97.0,82.9,56879551,195.50
yolo12n,0.7463,0.6069,0.8151,0.8423,0.8257,337.7,670.8,652.5,0.6137,0.4668,0.5806,0.5804,0.5805,277.7,501.4,515.8,2569023,6.50
yolo12s,0.6148,0.4309,0.7724,0.6756,0.7089,190.0,310.4,326.1,0.4639,0.2956,0.6346,0.3989,0.4899,,,,9255071,21.50
yolo12m,0.3660,0.2356,0.7053,0.4345,0.4970,183.6,249.7,269.1,0.1273,0.0516,0.4067,0.1574,0.2270,,,,20141343,67.80
yolo12l,0.3863,0.2858,0.6312,0.5327,0.4542,122.9,181.6,197.1,0.3389,0.1705,0.4444,0.4911,0.4666,,,,26392959,89.40
yolo12x,0.2657,0.1457,0.5162,0.4464,0.3910,105.7,259.9,285.7,0.0518,0.0241,0.2685,0.1944,0.2255,121.5,218.7,243.8,59124159,199.80
yolo13n,0.7237,0.6086,0.8602,0.7619,0.7827,317.9,619.7,559.3,0.6970,0.5924,0.7963,0.5806,0.6715,195.2,,,2481991,6.40
yolo13s,0.6138,0.4878,0.8269,0.6935,0.7192,169.6,297.1,288.8,0.6821,0.5563,0.6713,0.6086,0.6384,203.4,,,9031879,20.80
yolo13l,0.6365,0.5086,0.7117,0.7619,0.6883,115.1,180.1,176.9,0.3362,0.2606,0.6838,0.3257,0.4412,129.8,,,27574471,88.40
yolo13x,,,,,,95.7,223.0,239.1,,,,,,105.0,,,63977543,199.20
yolo26n,0.6085,0.4664,0.8320,0.6875,0.6926,418.0,911.5,736.6,0.5197,0.4402,0.7043,0.4865,0.5754,339.0,702.7,661.5,2505750,5.80
yolo26s,0.6846,0.5005,0.7759,0.7292,0.7257,183.8,373.4,375.5,0.6675,0.5247,0.6235,0.6195,0.6215,,,,9951734,22.50
yolo26m,0.5992,0.4257,0.7903,0.7560,0.7421,174.4,299.9,304.1,0.5115,0.3737,0.6271,0.4745,0.5402,,,,21780598,74.80
yolo26l,0.5102,0.3576,0.5780,0.6190,0.5800,137.7,262.6,238.2,0.6474,0.5093,0.5842,0.5810,0.5826,,,,26184054,93.20
yolo26x,0.5645,0.4058,0.6557,0.6399,0.6013,128.7,413.6,403.0,0.3569,0.2695,0.4269,0.4032,0.4147,151.0,380.6,378.5,58820118,208.60
